sku,price
877302,"35,67"
282137,"736,77"
282144,"859,77"
282151,"1228,77"
282571,"736,77"
282588,"859,77"
282090,"982,77"
282083,"2950,77"
839997,"29,52"
212028,"1167,27"
599440,"14,76"
599457,"11,07"
599464,"44,28"
599488,"44,28"
599471,"44,28"
599402,"22,14"
599419,"29,52"
599426,"29,52"
599433,"22,14"
599372,"36,90"
599327,"33,21"
590140,"9,84"
599334,"38,13"
1050210,"8560,80"
809921,"650,67"
809952,"146,37"
281208,"1474,77"
281253,"773,67"
267226,"2827,77"
843307,"110,70"
975770,"367,77"
856314,"60,27"
781401,"35,67"
856307,"41,82"
856284,"55,35"
841020,"20,91"
841129,"15,99"
841105,"15,99"
841112,"15,99"
856253,"39,36"
841136,"17,22"
842003,"68,88"
844274,"185,73"
856062,"34,44"
856031,"33,21"
856000,"43,05"
856024,"30,75"
856017,"30,75"
856192,"41,82"
856048,"22,14"
765357,"8,73"
843000,"31,98"
843109,"39,36"
844281,"145,14"
844298,"134,07"
843888,"84,87"
843895,"95,94"
781333,"52,89"
843055,"30,75"
843154,"34,44"
553404,"25,83"
855751,"31,98"
855553,"87,33"
855560,"103,32"
855546,"79,95"
856185,"35,67"
844434,"28,29"
844267,"103,32"
842522,"25,83"
842539,"25,83"
842546,"25,83"
842553,"27,06"
781371,"45,51"
843321,"91,02"
293125,"79,95"
225900,"183,27"
226000,"220,17"
781388,"34,44"
267264,"1523,97"
842928,"47,97"
842966,"51,66"
843956,"150,06"
840344,"31,98"
841297,"20,79"
840351,"31,98"
841303,"22,02"
840368,"35,67"
841310,"23,86"
840375,"41,82"
841327,"34,44"
841334,"33,21"
840245,"23,62"
840252,"24,48"
840276,"30,75"
840382,"44,28"
856246,"44,28"
842423,"29,52"
781340,"55,35"
